Dead_Count,Infected_Count,Normal_Count,Recovered_Count,tick
118.4,0.2,137.8,245.6,192.5
118.4,0.2,137.8,245.6,193.0
118.4,0.2,137.8,245.6,193.5
118.4,0.2,137.8,245.6,194.0
118.4,0.2,137.8,245.6,194.5
118.4,0.2,137.8,245.6,195.0
118.4,0.2,137.8,245.6,195.5
118.4,0.2,137.8,245.6,196.0
118.4,0.2,137.8,245.6,196.5
118.4,0.0,137.8,245.8,197.0
118.4,0.0,137.8,245.8,197.5
118.4,0.0,137.8,245.8,198.0
118.4,0.0,137.8,245.8,198.5
118.4,0.0,137.8,245.8,199.0
118.4,0.0,137.8,245.8,199.5
118.4,0.0,137.8,245.8,200.0
